age,gender,job,club,sport,band,game_hrs,GPA,siblings,friends,books,meals,iphone,songs,absent,romance,study,mother,father,parents,CARD
16,F,N,Y,Y,N,1,3.78,3,3,1,10,Y,1,0,N,5,3,3,M,3
14,M,N,Y,Y,Y,4,4.117,0,2,2,0,Y,1,0,N,3,5,5,M,1
15,F,N,Y,N,Y,1,3.5,2,4,2,5,N,1,2,N,2,5,2,D,1
14,M,N,Y,Y,N,1,4.2,2,2,3,0,Y,2,4,N,1,5,4,M,1
14,F,N,Y,N,Y,1,3.2,4,2,1,1,Y,3,1,N,2,4,4,D,2
14,M,N,N,Y,N,3,4.25,2,2,5,0,N,2,0,N,2,4,4,D,1
14,F,N,Y,Y,N,1,3.8,2,3,4,0,Y,1,0,N,1,4,3,M,2
14,F,N,Y,Y,N,1,3.9,3,2,1,5,Y,2,2,Y,5,4,5,D,2
15,F,Y,Y,Y,N,1,3.4,2,2,1,3,Y,2,0,N,2,4,4,M,2
18,F,N,Y,Y,N,1,3.7,1,2,1,20,N,1,4,Y,2,3,3,M,3
16,F,N,Y,N,N,1,4.2,1,2,2,0,Y,0,0,N,5,5,3,C,2
15,F,N,Y,Y,Y,1,4,3,2,2,0,Y,1,2,N,3,5,5,M,3
15,F,N,Y,Y,Y,1,3.96,2,4,5,2,Y,1,2,N,1,4,5,M,3
14,M,N,Y,Y,Y,1,3.929,1,,1,0,Y,1,0,N,3,3,3,D,2
14,M,N,Y,Y,Y,1,4.143,2,2,3,0,N,2,1,N,3,4,5,M,1
16,F,Y,Y,Y,N,1,3.8,2,2,1,10,Y,2,3,N,2,3,3,D,3
14,F,N,Y,Y,Y,1,3.9,2,2,1,2,Y,,0,N,3,5,5,M,3
14,F,N,Y,Y,Y,1,4.167,3,2,1,1,Y,1,3,N,2,5,5,M,2
14,F,N,Y,Y,N,1,3.5,2,5,1,10,Y,2,10,N,4,5,5,M,3
14,F,N,Y,Y,Y,1,3.5,2,6,1,3,Y,2,0,N,2,5,4,M,2
14,F,Y,Y,N,Y,1,3.9,1,8,1,4,N,2,0,N,2,5,5,M,3
14,F,N,Y,N,Y,1,4,1,5,3,0,Y,2,2,N,4,4,4,M,2
17,M,N,Y,Y,N,1,4.4,3,3,1,2,N,1,0,N,1,4,4,M,1
17,M,Y,Y,Y,N,1,4.1,3,3,2,30,Y,1,1,Y,2,4,5,M,3
18,M,N,Y,N,N,4,4.1,1,5,1,12,Y,3,1,N,3,5,4,M,2
17,F,Y,Y,Y,N,2,3.7,2,1,4,12,Y,2,2,N,1,4,4,M,2
18,M,Y,Y,Y,N,3,4.6,3,2,2,5,Y,4,0,Y,3,4,4,M,1
18,M,Y,Y,N,Y,1,3,0,1,3,6,N,2,0,N,2,5,5,M,1
17,M,Y,Y,Y,Y,2,4.5,3,3,1,,N,1,1,N,4,4,4,M,1
16,F,N,Y,Y,N,1,3.8,2,2,1,2,Y,3,1,Y,4,4,2,M,2
16,F,Y,Y,Y,N,1,4.33,1,2,1,2,Y,1,1,N,5,4,4,M,3
16,F,Y,Y,Y,Y,1,4.2,1,2,2,3,Y,2,0,Y,3,4,5,M,3
17,F,Y,Y,N,N,3,3.8,3,2,5,3,Y,1,3,N,1,4,4,M,3
14,F,N,N,Y,Y,1,4.06,1,2,2,4,Y,2,1,N,3,5,5,M,2
15,M,N,Y,Y,N,4,4.3,2,2,1,2,Y,2,1,N,3,5,5,M,1
15,F,N,Y,N,N,1,,2,3,,,Y,1,,N,,2,2,M,3
15,M,N,Y,N,N,2,4.2,2,3,1,0,Y,1,5,N,5,5,5,M,2
15,M,N,Y,N,N,3,4.1,1,2,1,2,Y,1,0,N,4,5,5,M,1
15,M,N,Y,N,Y,1,4.5,1,5,1,1,Y,2,,N,,5,5,M,2
16,F,Y,Y,Y,Y,1,4.28,3,2,2,2,Y,2,0,N,3,4,3,M,2
16,M,N,Y,N,N,1,3.6,2,3,1,5,Y,2,0,Y,2,4,4,M,1
18,M,Y,Y,N,N,1,3.8,4,4,1,7,Y,3,3,N,1,5,5,M,2
17,M,Y,Y,Y,N,1,4,1,2,1,2,Y,2,2,N,3,4,5,M,1
15,F,N,Y,Y,N,1,4.43,1,1,2,3,Y,1,2,N,3,5,5,M,3
16,F,N,Y,Y,N,1,3.8,1,2,2,4,Y,2,3,N,2,4,4,M,3
16,M,Y,Y,Y,N,1,4.2,1,2,1,10,Y,5,0.5,Y,2,4,5,M,3
14,F,N,N,N,N,2,4.1,5,3,4,0,N,1,0,N,5,4,5,M,1
15,M,N,N,N,N,2,4.4,1,2,1,2,N,1,0.5,N,2,5,4,M,1
